SourceFile,DateTimeOriginal
E:/Nistkastenmonitoring/NKM01//100EK113/06100126.JPG,2018:06:10 05:37:39
E:/Nistkastenmonitoring/NKM01//100EK113/06100127.JPG,2018:06:10 05:37:41
E:/Nistkastenmonitoring/NKM01//100EK113/06100128.JPG,2018:06:10 05:37:42
E:/Nistkastenmonitoring/NKM01//100EK113/06100129.JPG,2018:06:10 05:37:43
E:/Nistkastenmonitoring/NKM01//100EK113/06100130.JPG,2018:06:10 05:37:51
E:/Nistkastenmonitoring/NKM01//100EK113/06100131.JPG,2018:06:10 05:38:00
E:/Nistkastenmonitoring/NKM01//100EK113/06100132.JPG,2018:06:10 05:38:12
E:/Nistkastenmonitoring/NKM01//100EK113/06100133.JPG,2018:06:10 05:38:16
E:/Nistkastenmonitoring/NKM01//100EK113/06100134.JPG,2018:06:10 05:38:23
E:/Nistkastenmonitoring/NKM01//100EK113/06100135.JPG,2018:06:10 05:38:55
E:/Nistkastenmonitoring/NKM01//100EK113/06100136.JPG,2018:06:10 05:39:25
E:/Nistkastenmonitoring/NKM01//100EK113/06100137.JPG,2018:06:10 05:39:29
E:/Nistkastenmonitoring/NKM01//100EK113/06100138.JPG,2018:06:10 05:39:32
E:/Nistkastenmonitoring/NKM01//100EK113/06100139.JPG,2018:06:10 05:44:09
E:/Nistkastenmonitoring/NKM01//100EK113/06100140.JPG,2018:06:10 05:44:12
E:/Nistkastenmonitoring/NKM01//100EK113/06100141.JPG,2018:06:10 05:44:13
E:/Nistkastenmonitoring/NKM01//100EK113/06100142.JPG,2018:06:10 05:44:14
E:/Nistkastenmonitoring/NKM01//100EK113/06100143.JPG,2018:06:10 06:00:01
E:/Nistkastenmonitoring/NKM01//100EK113/06100144.JPG,2018:06:10 06:00:46
E:/Nistkastenmonitoring/NKM01//100EK113/06100145.JPG,2018:06:10 06:00:52
E:/Nistkastenmonitoring/NKM01//100EK113/06100146.JPG,2018:06:10 06:56:28
E:/Nistkastenmonitoring/NKM01//100EK113/06100147.JPG,2018:06:10 06:56:29
E:/Nistkastenmonitoring/NKM01//100EK113/06100148.JPG,2018:06:10 06:56:30
E:/Nistkastenmonitoring/NKM01//100EK113/06100149.JPG,2018:06:10 06:56:43
E:/Nistkastenmonitoring/NKM01//100EK113/06100150.JPG,2018:06:10 17:00:01
E:/Nistkastenmonitoring/NKM01//100EK113/06100151.JPG,2018:06:10 18:00:01
E:/Nistkastenmonitoring/NKM01//100EK113/06110152.JPG,2018:06:11 00:44:56
E:/Nistkastenmonitoring/NKM01//100EK113/06110153.JPG,2018:06:11 00:45:00
E:/Nistkastenmonitoring/NKM01//100EK113/06110154.JPG,2018:06:11 00:45:00
E:/Nistkastenmonitoring/NKM01//100EK113/06110155.JPG,2018:06:11 00:45:00
E:/Nistkastenmonitoring/NKM01//100EK113/06110156.JPG,2018:06:11 00:45:01
E:/Nistkastenmonitoring/NKM01//100EK113/06110157.JPG,2018:06:11 00:45:02
E:/Nistkastenmonitoring/NKM01//100EK113/06110158.JPG,2018:06:11 00:45:03
E:/Nistkastenmonitoring/NKM01//100EK113/06110159.JPG,2018:06:11 00:45:05
E:/Nistkastenmonitoring/NKM01//100EK113/06110160.JPG,2018:06:11 00:45:05
E:/Nistkastenmonitoring/NKM01//100EK113/06110161.JPG,2018:06:11 00:45:05
E:/Nistkastenmonitoring/NKM01//100EK113/06110162.JPG,2018:06:11 00:45:07
E:/Nistkastenmonitoring/NKM01//100EK113/06110163.JPG,2018:06:11 00:45:07
E:/Nistkastenmonitoring/NKM01//100EK113/06110164.JPG,2018:06:11 00:45:08
E:/Nistkastenmonitoring/NKM01//100EK113/06110165.JPG,2018:06:11 00:45:09
E:/Nistkastenmonitoring/NKM01//100EK113/06110166.JPG,2018:06:11 00:45:10
E:/Nistkastenmonitoring/NKM01//100EK113/06110167.JPG,2018:06:11 05:00:01
E:/Nistkastenmonitoring/NKM01//100EK113/06110168.JPG,2018:06:11 06:00:01
E:/Nistkastenmonitoring/NKM01//100EK113/06110169.JPG,2018:06:11 17:00:01
E:/Nistkastenmonitoring/NKM01//100EK113/06110170.JPG,2018:06:11 18:00:01
E:/Nistkastenmonitoring/NKM01//100EK113/06110171.JPG,2018:06:11 22:50:51
E:/Nistkastenmonitoring/NKM01//100EK113/06110172.JPG,2018:06:11 23:12:34
E:/Nistkastenmonitoring/NKM01//100EK113/06110173.JPG,2018:06:11 23:13:07
E:/Nistkastenmonitoring/NKM01//100EK113/06110174.JPG,2018:06:11 23:13:15
E:/Nistkastenmonitoring/NKM01//100EK113/06110175.JPG,2018:06:11 23:13:33
E:/Nistkastenmonitoring/NKM01//100EK113/06110176.JPG,2018:06:11 23:14:17
E:/Nistkastenmonitoring/NKM01//100EK113/06110177.JPG,2018:06:11 23:14:21
E:/Nistkastenmonitoring/NKM01//100EK113/06110178.JPG,2018:06:11 23:14:35
E:/Nistkastenmonitoring/NKM01//100EK113/06110179.JPG,2018:06:11 23:14:39
